Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,POWERPLAY_OVR,MIDDLE_OVERS_OVR,DEATH_OVERS_OVR
Xavier Bartlett,,Bowler,PK,YES,67.0,55.0,55.0,79.0
Yash Thakur,Yash Thakur,Bowler,PK,NO,72.5,68.0,77.0,55.4
Yuzvendra Chahal,Yuzvendra Chahal,Bowler,PK,NO,84.2,81.1,87.4,73.8
Jacob Bethell,,All-Rounder,RCB,YES,67.0,55.0,55.0,79.0
Krunal Pandya,Krunal Pandya,All-Rounder,RCB,NO,81.4,82.6,80.2,76.2
Liam Livingstone,Liam Livingstone,All-Rounder,RCB,NO,72.6,70.2,74.9,65.6
Manoj Bhandage,,All-Rounder,RCB,YES,67.0,55.0,55.0,79.0
Romario Shepherd,Romario Shepherd,All-Rounder,RCB,NO,60.2,58.4,62.1,55.0
Swapnil Singh,Swapnil Singh,All-Rounder,RCB,NO,73.6,69.3,77.9,61.3
Tim David,,All-Rounder,RCB,YES,57.0,55.0,55.0,59.0
Abhinandan Singh,,Bowler,RCB,YES,67.0,55.0,55.0,79.0
Bhuvneshwar Kumar,Bhuvneshwar Kumar,Bowler,RCB,NO,85.8,85.8,85.9,70.8
Blessing Muzarabani,,Bowler,RCB,YES,67.0,55.0,55.0,79.0
Josh Hazlewood,Josh Hazlewood,Bowler,RCB,NO,86.3,83.5,89.2,68.9
Lungisani Ngidi,,Bowler,RCB,YES,79.2,68.1,76.7,81.7
Mohit Rathee,Mohit Rathee,Bowler,RCB,NO,55.0,55.0,55.0,55.0
Nuwan Thushara,Nuwan Thushara,Bowler,RCB,NO,63.9,62.7,65.0,55.0
Rasikh Salam,Rasikh Salam,Bowler,RCB,NO,65.0,60.5,69.6,55.0
Suyash Sharma,Suyash Sharma,Bowler,RCB,NO,72.3,72.8,71.9,64.2
Yash Dayal,Yash Dayal,Bowler,RCB,NO,78.0,75.8,80.3,60.4
Nitish Rana,Nitish Rana,All-Rounder,RR,NO,72.6,71.7,73.4,63.8
Yudhvir Singh,Yudhvir Singh,All-Rounder,RR,NO,79.0,75.0,82.9,58.4
Akash Madhwal,Akash Madhwal,Bowler,RR,NO,73.2,68.6,77.8,57.0
Ashok Sharma,,Bowler,RR,YES,67.0,55.0,55.0,79.0
Fazalhaq Farooqi,Fazalhaq Farooqi,Bowler,RR,NO,76.8,76.1,77.4,60.9
Jofra Archer,Jofra Archer,Bowler,RR,NO,73.2,74.5,72.0,58.5
Kumar Kartikeya,Kumar Kartikeya,Bowler,RR,NO,75.0,73.5,76.4,67.3
Kwena Maphaka,Kwena Maphaka,Bowler,RR,NO,60.1,59.5,60.8,55.0
Maheesh Theekshana,Maheesh Theekshana,Bowler,RR,NO,80.2,79.4,81.0,74.5
Nandre Burger,Nandre Burger,Bowler,RR,NO,81.5,78.1,85.0,62.6
Sandeep Sharma,Sandeep Sharma,Bowler,RR,NO,82.2,82.5,81.8,69.5
Tushar Deshpande,Tushar Deshpande,Bowler,RR,NO,81.2,77.7,84.6,60.3
Wanindu Hasaranga,Wanindu Hasaranga,Bowler,RR,NO,74.6,71.6,77.6,64.4
Abhishek Sharma,Abhishek Sharma,All-Rounder,SRH,NO,74.3,74.8,73.9,66.8
Brydon Carse,,All-Rounder,SRH,YES,67.0,55.0,55.0,79.0
Harsh Dubey,,All-Rounder,SRH,YES,67.0,55.0,55.0,79.0
Harshal Patel,Harshal Patel,All-Rounder,SRH,NO,83.2,79.4,86.9,69.3
Kamindu Mendis,,All-Rounder,SRH,YES,67.0,55.0,55.0,79.0
Nitish Kumar Reddy,Nitish Kumar Reddy,All-Rounder,SRH,NO,67.0,66.2,67.7,56.7
Wiaan Mulder,,All-Rounder,SRH,YES,67.0,55.0,55.0,79.0
Adam Zampa,Adam Zampa,Bowler,SRH,NO,75.6,72.1,79.1,66.2
Eshan Malinga,,Bowler,SRH,YES,83.7,75.5,83.4,83.9
Jaydev Unadkat,Jaydev Unadkat,Bowler,SRH,NO,71.3,70.1,72.5,62.4
Mohammed Shami,Mohammed Shami,Bowler,SRH,NO,88.7,86.1,91.3,71.8
Pat Cummins,Pat Cummins,Bowler,SRH,NO,76.3,72.9,79.7,61.8
Rahul Chahar,Rahul Chahar,Bowler,SRH,NO,83.0,81.5,84.4,74.6
Simarjeet Singh,Simarjeet Singh,Bowler,SRH,NO,79.7,79.3,80.1,63.8
Zeeshan Ansari,,Bowler,SRH,YES,67.0,55.0,55.0,79.0
