Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
S Dube,Shivam Dube,Shivam Dube,All-Rounder,CSK,37,3,40,1.0,exact_variation
S Dube,Shivam Dube,Shivam Dube,All-Rounder,CSK,37,3,40,1.0,exact_variation
N Pooran,Nicholas Pooran,Nicholas Pooran,WK-Batter,LSG,40,0,40,1.0,exact_variation
Avesh Khan,Avesh Khan,Avesh Khan,Bowler,LSG,7,33,40,1.0,exact_variation
R Tewatia,Rahul Tripathi,Rahul Tewatia,Batter,CSK,31,7,38,1.0,exact_fullname_variation
A Badoni,Ayush Badoni,Ayush Badoni,All-Rounder,LSG,33,5,38,1.0,exact_variation
DA Miller,David Miller,David Miller,Batter,LSG,38,0,38,1.0,exact_fullname_variation
R Tewatia,Rahul Tripathi,Rahul Tewatia,Batter,CSK,31,7,38,1.0,exact_fullname_variation
A Badoni,Ayush Badoni,Ayush Badoni,All-Rounder,LSG,33,5,38,1.0,exact_variation
DJ Hooda,Deepak Hooda,Deepak Hooda,All-Rounder,CSK,33,4,37,1.0,exact_fullname_variation
R Parag,Priyansh Arya,Riyan Parag,All-Rounder,PK,31,6,37,0.769,fuzzy_comprehensive
N Rana,Nitish Kumar Reddy,Nitish Rana,All-Rounder,SRH,29,8,37,1.0,exact_fullname_variation
R Parag,Priyansh Arya,Riyan Parag,All-Rounder,PK,31,6,37,0.769,fuzzy_comprehensive
PWH de Silva,Harnoor Pannu,Wanindu Hasaranga,Batter,PK,12,24,36,0.75,fuzzy_comprehensive
YBK Jaiswal,Yashasvi Jaiswal,Yashasvi Jaiswal,Batter,RR,35,1,36,1.0,exact_fullname_variation
JJ Bumrah,Jasprit Bumrah,Jasprit Bumrah,Bowler,MI,10,26,36,1.0,exact_fullname_variation
KL Rahul,KL Rahul,KL Rahul,WK-Batter,DC,36,0,36,1.0,exact_variation
PWH de Silva,Harnoor Pannu,Wanindu Hasaranga,Batter,PK,12,24,36,0.75,fuzzy_comprehensive
MR Marsh,Mitchell Marsh,Mitchell Marsh,All-Rounder,LSG,21,15,36,1.0,exact_fullname_variation
SO Hetmyer,Shimron Hetmyer,Shimron Hetmyer,Batter,RR,35,0,35,1.0,exact_fullname_variation
Mohammed Shami,Mohammad Shami,Mohammed Shami,Bowler,SRH,2,33,35,1.0,exact_variation
MS Dhoni,MS Dhoni,MS Dhoni,WK-Batter,CSK,35,0,35,1.0,exact_variation
JM Sharma,Jitesh Sharma,Jitesh Sharma,WK-Batter,RCB,34,0,34,1.0,exact_fullname_variation
T Natarajan,T. Natarajan,T Natarajan,Bowler,DC,0,33,33,1.0,exact_variation
SA Yadav,Surya Kumar Yadav,Suryakumar Yadav,Batter,MI,33,0,33,1.0,exact_fullname_variation
KK Ahmed,Khaleel Ahmed,Khaleel Ahmed,Bowler,CSK,2,31,33,1.0,exact_fullname_variation
TH David,Tim David,Tim David,All-Rounder,RCB,33,0,33,1.0,exact_fullname_variation
A Nortje,Anrich Nortje,Anrich Nortje,Bowler,KKR,10,22,32,1.0,exact_variation
Washington Sundar,Washington Sundar,Washington Sundar,All-Rounder,GT,14,17,31,1.0,exact_variation
TU Deshpande,Tushar Deshpande,Tushar Deshpande,Bowler,RR,2,29,31,1.0,exact_fullname_variation
Noor Ahmad,Noor Ahmad,Noor Ahmad,Bowler,CSK,7,23,30,1.0,exact_variation
M Shahrukh Khan,Mohd. Arshad Khan,M Shahrukh Khan,All-Rounder,GT,28,2,30,1.0,exact_fullname_variation
M Shahrukh Khan,Mohd. Arshad Khan,M Shahrukh Khan,All-Rounder,GT,28,2,30,1.0,exact_fullname_variation
M Jansen,Marco Jansen,Marco Jansen,All-Rounder,PK,11,19,30,1.0,exact_variation
AM Rahane,Ajinkya Rahane,Ajinkya Rahane,Batter,KKR,29,0,29,1.0,exact_fullname_variation
Q de Kock,Quinton de Kock,Quinton de Kock,WK-Batter,KKR,29,0,29,1.0,exact_fullname_variation
PJ Cummins,Pat Cummins,Pat Cummins,Bowler,SRH,12,17,29,1.0,exact_fullname_variation
