PLAYER_ID,PLAYER_NAME,PLAYER_TYPE,PLAYER_IPL_TEAM,TOTAL_RUNS,BATTING_AVG,30+RUNS,50+RUNS,70+RUNS,S/R_vs_SPIN,S/R_vs_PACE,HIGHEST_SCORED,NOT_OUTS,BOUNDARY_%,DOT_BALLS_%,BALLS_FACED,CATCHES_TAKEN,CATCHES_DROPPED,RUN_OUT_(%),RUNS_SAVED,BOUNDARIES_SAVED,CAUGHT_BEHIND,STUMPING,RUN_OUTS
1317b6f4-688b-4a2c-9ef5-a9dabae36309_RANJI_TROPHY,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_BBL,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_CPL,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_SA20,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_ILT20,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_IPL,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_T20I,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_ODI,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_STATE_T20,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_SMAT_ELITE,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_VIJAY_HAZARE,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_VINOO_MANKAD,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_DULEEP_TROPHY,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_RANJI_TROPHY,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_BBL,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_CPL,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_SA20,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be822ec2-b4e9-4132-84c5-9ead3b5ecdc6_ILT20,Sediqullah Atal,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_IPL,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_T20I,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_ODI,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_STATE_T20,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_SMAT_ELITE,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_VIJAY_HAZARE,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_VINOO_MANKAD,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_DULEEP_TROPHY,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_RANJI_TROPHY,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_BBL,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_CPL,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_SA20,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ec97c94-4ccf-49e7-8856-dd735de4822e_ILT20,Abishek Porel,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_IPL,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_T20I,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_ODI,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_STATE_T20,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_SMAT_ELITE,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_VIJAY_HAZARE,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_VINOO_MANKAD,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_DULEEP_TROPHY,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_RANJI_TROPHY,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_BBL,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_CPL,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_SA20,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e342b9b0-6dd3-4677-a0fe-0b7e98861f5b_ILT20,Tristan Stubbs,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_IPL,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_T20I,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_ODI,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_STATE_T20,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_SMAT_ELITE,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_VIJAY_HAZARE,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44e9f622-2d6d-41e5-917c-d5a116b6cdec_VINOO_MANKAD,Axar Patel,All-Rounder,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
